,Bag-Of-Words,BERT,InferSent,Self-Attentive,TF-IDF
0,0,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
3,0,0,0,0,0
4,0,1,1,1,0
5,1,1,1,1,1
6,0,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,0,1
11,1,1,1,1,1
12,0,1,1,1,0
13,0,1,1,0,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,0,1,1,1,0
19,1,1,1,1,1
20,1,1,1,1,1
21,0,0,0,0,0
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,0,1,1,1,0
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,0
40,0,1,1,1,0
41,1,1,1,1,1
42,1,1,1,1,1
43,0,1,1,1,0
44,1,1,1,1,1
45,1,1,1,1,1
46,0,0,0,0,0
47,1,1,1,1,1
48,1,1,1,1,1
49,0,1,1,1,0
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,0,0,0
53,1,1,1,1,1
54,1,0,1,1,1
55,1,1,1,1,1
56,0,1,1,1,1
57,0,1,1,1,0
58,0,1,1,1,1
59,0,0,0,0,0
60,1,1,1,1,1
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,0,1,0,1,0
66,1,1,1,1,1
67,1,1,1,1,1
68,1,1,1,1,1
69,1,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,1,1
73,1,1,1,1,1
74,0,1,1,1,0
75,1,1,1,1,0
76,1,1,1,1,1
77,1,1,1,1,1
78,1,1,1,1,1
79,0,1,1,1,0
80,0,1,0,0,0
81,1,1,1,1,1
82,1,0,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,1,1,1,1,0
91,1,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,0,1
95,1,1,1,1,1
96,0,1,1,1,0
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,1
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,0,1,1
109,1,1,1,1,1
110,1,1,1,1,1
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,0,1,1,1,0
122,0,1,1,1,0
123,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,0,1,1,1,0
128,1,1,1,1,0
129,1,1,1,1,1
130,0,0,0,0,0
131,1,1,0,0,1
132,0,1,1,1,0
133,1,1,1,1,1
134,1,1,1,0,1
135,0,1,1,0,1
136,1,1,1,1,1
137,1,0,0,0,1
138,1,1,1,1,1
139,1,1,1,1,1
140,0,1,1,1,0
141,1,1,1,1,1
142,1,0,1,1,0
143,1,1,1,1,1
144,0,0,0,0,0
145,1,1,1,1,1
146,1,1,1,1,1
147,1,1,1,1,1
148,1,1,1,1,1
149,1,1,1,1,1
150,1,1,1,1,1
151,1,1,1,1,1
152,1,1,0,0,1
153,1,1,1,1,1
154,1,1,1,1,1
155,1,1,1,1,1
156,1,1,1,1,1
157,1,0,1,1,1
158,1,1,1,1,1
159,0,1,1,1,0
160,1,1,1,1,1
161,1,1,1,1,1
162,1,1,1,1,1
163,1,1,1,1,1
164,1,1,0,1,1
165,1,1,1,1,1
166,1,1,1,1,1
167,1,1,1,1,1
168,1,1,1,1,1
169,1,1,1,1,1
170,1,1,1,1,1
171,0,1,1,1,0
172,1,1,1,1,1
173,1,1,1,1,1
174,0,1,0,1,0
175,0,1,1,1,0
176,0,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,1,1,1,1,1
180,1,1,1,1,1
181,0,0,0,0,0
182,1,1,1,1,1
183,1,1,1,1,1
184,1,1,1,1,0
185,1,1,1,1,1
186,0,1,1,1,0
187,0,0,1,1,0
188,1,1,1,1,1
189,1,1,1,1,1
190,1,1,1,1,1
191,1,1,1,1,1
192,1,1,1,1,1
193,1,1,1,1,1
194,1,1,1,1,1
195,0,1,1,1,0
196,1,1,1,1,1
197,1,1,1,1,1
198,0,0,1,1,0
199,0,1,1,1,1
200,1,1,1,1,1
201,1,1,1,1,0
202,1,1,1,1,1
203,1,1,1,1,1
204,1,1,1,1,1
205,0,0,0,0,0
206,1,1,1,1,1
207,0,0,0,1,0
208,0,1,1,1,0
209,1,1,1,1,1
210,0,1,0,1,0
211,1,1,1,1,1
212,1,1,1,1,1
213,0,1,1,1,0
214,0,1,1,1,1
215,1,1,1,1,1
216,1,1,1,1,1
217,1,1,1,1,1
218,0,1,1,1,0
219,1,1,1,1,1
220,1,1,1,1,0
221,1,1,1,1,1
222,1,1,1,1,1
223,1,1,1,0,1
224,0,0,1,1,0
225,1,1,1,1,1
