,Text,Emotion
0,im grabbing a minute to post i feel greedy wrong,anger
1,i am feeling grouchy,anger
2,i think it s the easiest time of year to feel dissatisfied,anger
3,i feel irritated and rejected without anyone doing anything or saying anything,anger
4,i already feel like i fucked up though because i dont usually eat at all in the morning,anger
5,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
6,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
7,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
8,i stopped feeling cold and began feeling hot,anger
9,i feel selfish and spoiled,anger
10,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger
11,i know the pain parents feel when an enraged child becomes violent,anger
12,i feel angered and firey,anger
13,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
14,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
15,i remember feeling so hellip furious with the shooter,anger
16,im feeling bitter today my mood has been strange the entire day so i guess its that,anger
17,i am letting go of the animosity that is towards anyone that i feel has wronged me,anger
18,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
19,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger
20,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger
21,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
22,i just feel really violent right now,anger
23,i feel disgusted to even be associated with this woman by my race and nationality,anger
24,i laughed then bitterly again but i wasnt feeling bitter,anger
25,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger
26,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
27,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger
28,i know there are days in which you feel distracted,anger
29,im feeling distracted i tend to practice with my eyes shut as much as possible,anger
30,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
31,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
32,id kick myself into gear but i just feel irritable with no motivation what so ever,anger
33,i will start to feel resentful,anger
34,i feel so fucked like everyday of my life,anger
35,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
36,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger
37,im feeling cranky,anger
38,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger
39,im still paying attention but i feel distracted,anger
40,i have my own mind and i feel like my mind is dangerous to my life,anger
41,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
42,i always spend more money there than i mean to and feel dissatisfied when i exit the store,anger
43,im feeling really quite angry,anger
44,i is starting to feel a bit insulted by this stranger,anger
45,i see women wearing boots i feel envious that i want to curse them,anger
46,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
47,i started feeling hostile and i am checking my hemorrhoids,anger
48,i feel like i m on the receiving end of a violent attack,anger
49,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
50,i feel envious and embarrassed,anger
51,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,anger
52,i should feel complimented or insulted,anger
53,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
54,i feel bitter and just honkerblonked off in general,anger
55,im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,anger
56,i do feel envious of those with kids at certain moments,anger
57,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger
58,i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,anger
59,i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger
60,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
61,i feel like i should care that im a bit heartless not to,anger
62,i feel bitchy because i am hurting too,anger
63,i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
64,i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses,anger
